id,author,pkg,version,elm_version,license,direct_dep_count,total_dep_count
2858,getto-systems,getto-systems/elm-apply,1.0.0,0.19.0,MIT,1,2
2859,getto-systems,getto-systems/elm-field,1.0.0,0.19.0,MIT,2,3
2860,Skinney,Skinney/elm-phone-numbers,2.0.1,0.19.0,BSD-3-Clause,2,3
2861,achutkiran,achutkiran/material-components-elm,1.2.1,0.19.0,BSD-3-Clause,5,8
2862,lazamar,lazamar/dict-parser,1.0.1,0.19.0,BSD-3-Clause,2,3
2863,melon-love,melon-love/elm-gab-api,11.0.0,0.19.0,MIT,11,16
2864,pablohirafuji,pablohirafuji/elm-qrcode,3.0.1,0.19.0,BSD-3-Clause,4,7
2865,melon-love,melon-love/elm-gab-api,10.0.0,0.19.0,MIT,11,16
2866,melon-love,melon-love/elm-gab-api,9.0.0,0.19.0,MIT,11,16
2867,lazamar,lazamar/dict-parser,1.0.0,0.19.0,BSD-3-Clause,2,3
2868,NoRedInk,NoRedInk/noredink-ui,6.10.0,0.19.0,BSD-3-Clause,11,15
2869,achutkiran,achutkiran/material-components-elm,1.2.0,0.19.0,BSD-3-Clause,5,8
2870,abradley2,abradley2/form-elements,4.1.1,0.19.0,MIT,9,13
2871,MacCASOutreach,MacCASOutreach/graphicsvg,7.0.0,0.19.0,BSD-3-Clause,9,10
2872,folkertdev,folkertdev/elm-tiny-inflate,1.0.0,0.19.0,MPL-2.0,2,3
2873,achutkiran,achutkiran/material-components-elm,1.1.2,0.19.0,BSD-3-Clause,5,8
2874,achutkiran,achutkiran/material-components-elm,1.1.1,0.19.0,BSD-3-Clause,5,8
2875,achutkiran,achutkiran/material-components-elm,1.1.0,0.19.0,BSD-3-Clause,5,8
2876,toastal,toastal/endo,1.0.2,0.19.0,MIT,1,2
2877,toastal,toastal/either,3.5.1,0.19.0,BSD-3-Clause,2,3
2878,toastal,toastal/endo,1.0.1,0.19.0,MIT,1,2
2879,toastal,toastal/endo,1.0.0,0.19.0,MIT,1,2
2880,bburdette,bburdette/typed-collections,1.0.1,0.19.0,MIT,1,2
2881,rsignavong,rsignavong/elm-cloudinary-video-player,1.0.4,0.19.0,MIT,3,5
2882,jackhp95,jackhp95/palit,2.0.1,0.19.0,BSD-3-Clause,4,8
2883,rsignavong,rsignavong/elm-cloudinary-video-player,1.0.3,0.19.0,MIT,3,5
2884,rsignavong,rsignavong/elm-cloudinary-video-player,1.0.2,0.19.0,MIT,3,5
2885,rsignavong,rsignavong/elm-cloudinary-video-player,1.0.1,0.19.0,MIT,3,5
2886,rsignavong,rsignavong/elm-cloudinary-video-player,1.0.0,0.19.0,MIT,3,5
2887,cmditch,cmditch/elm-ethereum,3.0.1,0.19.0,MIT,16,22
2888,Skinney,Skinney/elm-phone-numbers,2.0.0,0.19.0,BSD-3-Clause,2,3
2889,elm,elm/file,1.0.5,0.19.0,BSD-3-Clause,4,5
2890,bowbahdoe,bowbahdoe/elm-history,2.1.0,0.19.0,Apache-2.0,1,2
2891,getsurance,getsurance/elm-street,2.0.0,0.19.0,BSD-3-Clause,4,6
2892,carlsson87,carlsson87/mod11,1.0.1,0.19.0,BSD-3-Clause,1,2
2893,carlsson87,carlsson87/mod11,1.0.0,0.19.0,BSD-3-Clause,1,2
2894,avh4,avh4/elm-dropbox,3.0.0,0.19.0,MIT,10,15
2895,abradley2,abradley2/form-elements,4.1.0,0.19.0,MIT,9,13
2896,getto-systems,getto-systems/elm-html-table,1.0.0,0.19.0,MIT,2,5
2897,getto-systems,getto-systems/elm-http-part,1.0.0,0.19.0,MIT,5,9
2898,getto-systems,getto-systems/elm-http-header,1.0.0,0.19.0,MIT,1,2
2899,getto-systems,getto-systems/elm-url,1.0.0,0.19.0,MIT,2,3
2900,getto-systems,getto-systems/elm-json,1.0.0,0.19.0,MIT,2,3
2901,ahstro,ahstro/elm-bulma-classes,3.0.0,0.19.0,BSD-3-Clause,2,5
2902,getto-systems,getto-systems/elm-sort,1.0.0,0.19.0,MIT,1,2
2903,cmditch,cmditch/elm-ethereum,3.0.0,0.19.0,MIT,16,22
2904,NoRedInk,NoRedInk/elm-rails,9.0.0,0.19.0,BSD-3-Clause,3,7
2905,getto-systems,getto-systems/elm-command,1.0.0,0.19.0,MIT,1,2
2906,getto-systems,getto-systems/getto-elm-command,1.0.2,0.19.0,MIT,1,2
2907,getto-systems,getto-systems/getto-elm-command,1.0.1,0.19.0,MIT,1,2
2908,getto-systems,getto-systems/getto-elm-command,1.0.0,0.19.0,MIT,1,2
2909,PanagiotisGeorgiadis,PanagiotisGeorgiadis/elm-datepicker,1.0.0,0.19.0,BSD-3-Clause,6,8
2910,jonathanfishbein1,jonathanfishbein1/linear-algebra,2.0.0,0.19.0,BSD-3-Clause,5,7
2911,1602,1602/elm-feather,2.3.5,0.19.0,BSD-3-Clause,5,6
2912,LesleyLai,LesleyLai/elm-grid,1.0.0,0.19.0,Apache-2.0,1,2
2913,elm-community,elm-community/array-extra,2.1.0,0.19.0,MIT,1,2
2914,gingko,gingko/time-distance,2.0.1,0.19.0,MIT,2,3
2915,gingko,gingko/time-distance,2.0.0,0.19.0,MIT,2,3
2916,gingko,gingko/time-distance,1.0.0,0.19.0,MIT,2,3
2917,bluedogtraining,bluedogtraining/bdt-elm,27.0.5,0.19.0,BSD-3-Clause,20,28
2918,bluedogtraining,bluedogtraining/bdt-elm,27.0.4,0.19.0,BSD-3-Clause,20,28
2919,primait,primait/forms,2.0.0,0.19.0,BSD-3-Clause,6,11
2920,avh4,avh4/elm-program-test,2.2.0,0.19.0,MIT,6,10
2921,peterszerzo,peterszerzo/elm-arborist,6.1.0,0.19.0,BSD-3-Clause,5,8
2922,primait,primait/forms,1.0.0,0.19.0,BSD-3-Clause,6,11
2923,carlsson87,carlsson87/mod10,2.0.0,0.19.0,MIT,1,2
2924,NoRedInk,NoRedInk/elm-sweet-poll,5.0.2,0.19.0,BSD-3-Clause,3,7
2925,Skinney,Skinney/elm-phone-numbers,1.0.1,0.19.0,BSD-3-Clause,2,3
2926,dmy,dmy/elm-pratt-parser,2.0.0,0.19.0,BSD-3-Clause,2,3
2927,jackhp95,jackhp95/palit,2.0.0,0.19.0,BSD-3-Clause,4,8
2928,jonathanfishbein1,jonathanfishbein1/linear-algebra,1.0.0,0.19.0,BSD-3-Clause,5,7
2929,dmy,dmy/elm-pratt-parser,1.1.1,0.19.0,BSD-3-Clause,2,3
2930,dmy,dmy/elm-pratt-parser,1.1.0,0.19.0,BSD-3-Clause,2,3
2931,hrldcpr,hrldcpr/elm-cons,3.1.0,0.19.0,BSD-3-Clause,1,2
2932,hecrj,hecrj/html-parser,2.3.1,0.19.0,BSD-3-Clause,5,7
2933,hecrj,hecrj/html-parser,2.3.0,0.19.0,BSD-3-Clause,5,7
2934,gicentre,gicentre/elm-vegalite,1.5.0,0.19.0,BSD-3-Clause,3,5
2935,dmy,dmy/elm-pratt-parser,1.0.0,0.19.0,BSD-3-Clause,2,3
2936,simonh1000,simonh1000/elm-colorpicker,2.0.0,0.19.0,MIT,5,7
2937,tomjkidd,tomjkidd/elm-multiway-tree-zipper,1.10.3,0.19.0,BSD-3-Clause,5,6
2938,avh4,avh4/elm-program-test,2.1.0,0.19.0,MIT,6,10
2939,Skinney,Skinney/keyboard-events,2.0.1,0.19.0,BSD-3-Clause,4,9
2940,Skinney,Skinney/keyboard-events,2.0.0,0.19.0,BSD-3-Clause,4,9
2941,jschomay,jschomay/elm-paginate,3.1.1,0.19.0,BSD-3-Clause,8,11
2942,gicentre,gicentre/elm-vegalite,1.4.0,0.19.0,BSD-3-Clause,3,5
2943,jpagex,jpagex/elm-material-color,1.0.1,0.19.0,BSD-3-Clause,2,3
2944,achutkiran,achutkiran/elm-material-color,1.0.1,0.19.0,BSD-3-Clause,2,3
2945,achutkiran,achutkiran/elm-material-color,1.0.0,0.19.0,BSD-3-Clause,2,3
2946,noahzgordon,noahzgordon/elm-color-extra,1.0.2,0.19.0,MIT,4,5
2947,achutkiran,achutkiran/material-components-elm,1.0.0,0.19.0,BSD-3-Clause,5,8
2948,annaghi,annaghi/dnd-list,4.0.2,0.19.0,BSD-3-Clause,4,8
